"run","randomSeed","numTanksBlue","default_observer_minPycor","default_observer_maxPycor","numSoldierBlue","default_observer_maxPxcor","numRidersBlue","default_observer_minPxcor","numTanksRed","numRidersRed","numSoldierRed"
373,2059992600,10,-16,16,10,16,10,-16,20,10,0
374,2059992865,10,-16,16,10,16,10,-16,20,10,10
375,2059993178,10,-16,16,10,16,10,-16,20,10,20
376,2059993568,10,-16,16,10,16,10,-16,20,20,0
377,2059993912,10,-16,16,10,16,10,-16,20,20,10
378,2059994193,10,-16,16,10,16,10,-16,20,20,20
379,2059994537,10,-16,16,10,16,20,-16,0,0,0
380,2059994850,10,-16,16,10,16,20,-16,0,0,10
381,2059995272,10,-16,16,10,16,20,-16,0,0,20
382,2059995647,10,-16,16,10,16,20,-16,0,10,0
383,2059995959,10,-16,16,10,16,20,-16,0,10,10
384,2059996397,10,-16,16,10,16,20,-16,0,10,20
385,2059996803,10,-16,16,10,16,20,-16,0,20,0
386,2059997225,10,-16,16,10,16,20,-16,0,20,10
387,2059997662,10,-16,16,10,16,20,-16,0,20,20
388,2059998022,10,-16,16,10,16,20,-16,10,0,0
389,2059998397,10,-16,16,10,16,20,-16,10,0,10
390,2059998772,10,-16,16,10,16,20,-16,10,0,20
391,2059999147,10,-16,16,10,16,20,-16,10,10,0
392,2059999568,10,-16,16,10,16,20,-16,10,10,10
393,2060000037,10,-16,16,10,16,20,-16,10,10,20
394,2060000381,10,-16,16,10,16,20,-16,10,20,0
395,2060000709,10,-16,16,10,16,20,-16,10,20,10
396,2060001053,10,-16,16,10,16,20,-16,10,20,20
397,2060001397,10,-16,16,10,16,20,-16,20,0,0
398,2060001756,10,-16,16,10,16,20,-16,20,0,10
399,2060001975,10,-16,16,10,16,20,-16,20,0,20
400,2060002350,10,-16,16,10,16,20,-16,20,10,0
401,2060002740,10,-16,16,10,16,20,-16,20,10,10
402,2060003131,10,-16,16,10,16,20,-16,20,10,20
403,2060003506,10,-16,16,10,16,20,-16,20,20,0
404,2060003881,10,-16,16,10,16,20,-16,20,20,10
405,2060004240,10,-16,16,10,16,20,-16,20,20,20
